Pocos MP,x,Y
1-BRSA-84-BA(1-FRT-1-BA),562179.30,8609874.60
1MP-0001-BA,563482.40,8608924.30
1MP-0002-BA,562134.03,8608618.93
1MP-0003-BA,560798.53,8610888.49
3MP-0004-BA,562165.63,8607810.93
3MP-0005-BA,561587.00,8611254.30
3MP-0006-BA,561524.54,8609007.58
3MP-0007-BA,560786.90,8610059.30
3MP-0008-BA,560747.80,8611629.50
3MP-0009-BA,560706.30,8613273.90
3MP-0010-BA,559932.60,8610915.10
3MP-0011-BA,561594.39,8606303.59
3MP-0013-BA,560041.60,8612123.00
3MP-0015-BA,560332.90,8611373.20
3MP-0016-BA,561395.80,8607401.10
4-BRSA-328D-BA (4-MP-26D-BA),562088.90,8607889.00
4-BRSA-879D-BA (4-MP-46D-BA),562168.30,8609837.20
4-BRSA-895D-BA (4-MP-45D-BA),560316.00,8606739.80
4-BRSA-931D-BA (4-MP-41D-BA),563692.70,8610239.30
4MP-0014-BA,561542.38,8606711.20
5-BRSA-365-BA (5-MP-27-BA),563479.60,8608954.00
6-BRSA-1326D-BA (6-MP-54D-BA),562377.40,8607061.80
7MP-0017-BA,560354.00,8611038.70
7MP-0018-BA,562538.20,8608998.90
7MP-0019-BA,562400.00,8607043.70
7MP-0020-BA,560189.60,8607559.62
7-MP-21D-BA,560645.54,8612369.85
7-MP-22-BA,561657.60,8608467.64
7-MP-23D-BA,560189.60,8608182.82
7-MP-24D-BA,561787.84,8608761.01
7-MP-25-BA,561381.69,8607428.57
7-MP-28D-BA,561866.85,8609189.13
7-MP-29D-BA,561998.26,8607175.21
7-MP-31D-BA,561405.21,8608701.74
7-MP-33D-BA,561104.17,8607674.29
7-MP-34D-BA,561449.66,8607748.78
7-MP-35D-BA,561261.52,8608370.01
7-MP-36D-BA,561658.40,8607451.39
7-MP-37D-BA,561260.22,8607980.06
7-MP-38D-BA,562323.20,8608940.44
7-MP-39D-BA,561766.67,8607801.18
7-MP-40D-BA,561280.49,8607123.85
7-MP-42D-BA,560820.04,8610831.02
7-MP-43D-BA,560221.42,8611987.06
7-MP-47DP-BA,561200.47,8607630.74
7-MP-48D-BA,561564.31,8607150.91
7-MP-49D-BA,561825.98,8608160.76
7-MP-50D-BA,561876.40,8608479.15
7-MP-51D-BA,561449.55,8608341.28
7-MP-52D-BA,561452.86,8607976.72
7-MP-53D-BA,561245.33,8608588.97
7-MP-55D-BA,561462.16,8607543.87
7-MP-56D-BA,561790.80,8608953.71
